aids_report_number,local_event_date,event_city,event_state,event_airport,event_type,aircraft_damage,flight_phase,aircraft_make,aircraft_model,aircraft_series,operator,primary_flight_type,flight_conduct_code,flight_plan_filed_code,aircraft_registration_nbr,total_fatalities,total_injuries,aircraft_engine_make,aircraft_engine_model,engine_group_code,nbr_of_engines,pic_certificate_type,pic_flight_time_total_hrs,pic_flight_time_total_make-model,NULL,NULL
20100124026499I,24-JAN-10,ATLANTA,GA,HARTSFIELD - JACKSON ATLANTA INTL,INCIDENT,NONE,TAKEOFF: CLIMB OUT,CANADAIR-BOMBARDIER,CHALLENGER,600,ATLANTIC SOUTHEAST AIRLINES INC,NULL,AIR CARRIER/COMMERCIAL,NULL,390CA,0,0,GE    ,CF34 SERIES  ,NULL,NULL,NULL,0,0,NULL,NULL
20100125026699I,25-JAN-10,FORT SMITH,AR,FORT SMITH RGNL,INCIDENT,MINOR,CRUISE-LEVEL FLIGHT,CESSNA,CE-421,CE-421-C,HEALTHMARK SERVICES AIR,NULL,GENERAL OPERATING RULES,NULL,421JP,0,0,CONT M,GTSI0-520-F-K,NULL,2,NULL,0,0,NULL,NULL
20100125026879I,25-JAN-10,SALINAS,PR,MERCEDITA,INCIDENT,NONE,CRUISE-LEVEL FLIGHT,BELL,BHT-407,NULL,NULL,NULL,GENERAL OPERATING RULES,NULL,311DJ,0,0,ALLISO,250-C47      ,NULL,1,NULL,0,0,NULL,NULL
20100126026279I,26-JAN-10,WEST JORDAN,UT,SOUTH VALLEY RGNL,INCIDENT,MINOR,LANDING: APPROACH,CESSNA,CE-210,CE-210-T210M,NULL,NULL,GENERAL OPERATING RULES,NULL,732RQ,0,0,CONT M,TSIO-520 SER ,NULL,1,COMMERCIAL PILOT,5000,380,NULL,NULL
20100126026449I,26-JAN-10,MEMPHIS,TN,MEMPHIS INTL,INCIDENT,NONE,LANDING: ROLLOUT,CESSNA,CE-210,CE-210-T210L,NULL,NULL,GENERAL OPERATING RULES,NULL,2235S,0,0,CONT M,TSIO-520 SER ,NULL,1,PRIVATE PILOT,0,0,NULL,NULL
20100126027009I,26-JAN-10,MERIDIAN,MS,KEY FIELD,INCIDENT,MINOR,LANDING: TOUCHDOWN,CESSNA,CE-195,CE-195-B,NULL,NULL,GENERAL OPERATING RULES,NULL,4418C,0,0,JACOBS,R755B SERIES ,NULL,1,AIRLINE TRANSPORT,11987,292,NULL,NULL
20100126027269I,26-JAN-10,EUFAULA,AL,WEEDON FIELD,INCIDENT,MINOR,LANDING: TOUCHDOWN,CIRRUS,CIRRUS-SR,CIRRUS-SR-22,NULL,NULL,GENERAL OPERATING RULES,NULL,667CD,0,0,CONT M,IO-550 SERIES,NULL,1,COMMERCIAL PILOT,800,300,NULL,NULL
20100127026439I,27-JAN-10,SPOKANE,WA,FELTS FIELD,INCIDENT,MINOR,TAKEOFF: DEPARTURE,CESSNA,CE-182,CE-182-R,NULL,NULL,GENERAL OPERATING RULES,NULL,2340C,0,0,LYCOMI,IO-540 SER   ,NULL,1,PRIVATE PILOT,340,4,NULL,NULL
20100127026519I,27-JAN-10,CURTIS,NE,CURTIS MUNI,INCIDENT,MINOR,LANDING: ROLLOUT,CESSNA,CE-172,CE-172-C,NULL,NULL,GENERAL OPERATING RULES,NULL,1860Y,0,0,CONT M,0-300 SER    ,NULL,1,PRIVATE PILOT,301,100,NULL,NULL
20100127026559I,27-JAN-10,ALLENTOWN,PA,LEHIGH VALLEY INTL,INCIDENT,MINOR,TAKEOFF: CLIMB OUT,NAMER,NA-N260,NA-N260-T28C,NULL,NULL,GENERAL OPERATING RULES,NULL,2215D,0,0,WRIGHT,R-1820 SER   ,NULL,NULL,AIRLINE TRANSPORT,4800,29,NULL,NULL
